Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
80,tt5691226,2025-10-29,2025-10-29,,"Pashupati Prasad","Pashupati Prasad",https://www.imdb.com/title/tt5691226/,Movie,8.6,140,2016,"Comedy, Drama, Romance",2733,2016-01-29,"Dipendra K. Khanal",7,2025-01-25
81,tt1816518,2025-10-29,2025-10-29,,"Ernest et Célestine","Ernest et Célestine",https://www.imdb.com/title/tt1816518/,Movie,7.8,80,2012,"Animation, Adventure, Comedy, Crime, Drama, Family, Fantasy",23845,2012-12-12,"Stéphane Aubier, Vincent Patar, Benjamin Renner",8,2025-02-02
82,tt15339456,2025-10-29,2025-10-29,,"Marcel the Shell with Shoes On","Marcel the Shell with Shoes On",https://www.imdb.com/title/tt15339456/,Movie,7.6,90,2021,"Animation, Comedy, Drama, Family, Fantasy",32805,2022-07-15,"Dean Fleischer Camp",8,2025-02-22
83,tt30227076,2025-10-29,2025-10-29,,"Black Box Diaries","Black Box Diaries",https://www.imdb.com/title/tt30227076/,Movie,7.5,102,2024,"Documentary, Crime",4235,2024-11-28,"Shiori Itô",7,2025-02-28
84,tt17526714,2025-10-29,2025-10-29,,"La Sustancia","The Substance",https://www.imdb.com/title/tt17526714/,Movie,7.2,141,2024,"Drama, Horror, Sci-Fi",372759,2024-09-19,"Coralie Fargeat",6,2025-03-05
85,tt14961016,2025-10-29,2025-10-29,,"Aún Estoy Aquí","Ainda Estou Aqui",https://www.imdb.com/title/tt14961016/,Movie,8.1,137,2024,"Biography, Drama, History",128956,2025-02-13,"Walter Salles",7,2025-03-13
86,tt9758482,2025-10-29,2025-10-29,,"Zabardast","Zabardast",https://www.imdb.com/title/tt9758482/,Movie,8.0,54,2018,"Documentary, Adventure, Sport",274,2018-10-06,"Jerome Tanon",7,2025-04-10
87,tt0094625,2025-10-29,2025-10-29,,"Akira","Akira",https://www.imdb.com/title/tt0094625/,Movie,8.0,124,1988,"Animation, Action, Drama, Fantasy, Sci-Fi",222119,1988-07-16,"Katsuhiro Ôtomo",7,2025-04-24
88,tt2278871,2025-10-29,2025-10-29,,"La vida de Adèle: Capítulos 1 & 2","La vie d'Adèle",https://www.imdb.com/title/tt2278871/,Movie,7.6,180,2013,"Drama, Romance",171555,2014-01-31,"Abdellatif Kechiche",7,2025-05-08
89,tt6386748,2025-10-29,2025-10-29,,"Pájaros de verano","Pájaros de verano",https://www.imdb.com/title/tt6386748/,Movie,7.5,125,2018,"Crime, Drama",13791,2018-08-02,"Cristina Gallego, Ciro Guerra",8,2025-05-17
90,tt15242330,2025-10-29,2025-10-29,,"The First Slam Dunk","The First Slam Dunk",https://www.imdb.com/title/tt15242330/,Movie,8.0,124,2022,"Animation, Comedy, Drama, Sport",12389,2023-08-03,"Takehiko Inoue",7,2025-06-21
91,tt15560314,2025-10-29,2025-10-29,,"The Monk and the Gun","The Monk and the Gun",https://www.imdb.com/title/tt15560314/,Movie,7.1,107,2023,"Comedy, Drama",4266,2024-03-22,"Pawo Choyning Dorji",7,2025-09-20
92,tt14205554,2025-11-03,2025-11-03,,"KPop Demon Hunters","KPop Demon Hunters",https://www.imdb.com/title/tt14205554/,Movie,7.5,95,2025,"Animation, Action, Adventure, Comedy, Family, Fantasy, Music, Musical",102689,2025-06-20,"Chris Appelhans, Maggie Kang",7,2025-10-25
93,tt8267604,2025-11-03,2025-11-03,,"Cafarnaúm-La ciudad olvidada","Capharnaüm",https://www.imdb.com/title/tt8267604/,Movie,8.4,126,2018,"Drama",121217,2019-02-14,"Nadine Labaki",7,2025-11-03
94,tt1605717,2025-11-16,2025-11-16,,"Frank","Frank",https://www.imdb.com/title/tt1605717/,Movie,6.9,95,2014,"Comedy, Drama, Music",84237,2014-05-09,"Lenny Abrahamson",7,2025-11-16
95,tt12908150,2025-12-05,2025-12-05,,"La Vida de Chuck","The Life of Chuck",https://www.imdb.com/title/tt12908150/,Movie,7.3,111,2024,"Drama, Fantasy, Sci-Fi",44393,2025-08-21,"Mike Flanagan",8,2025-12-05
